id_circuito_elec;province;vi_calidad_insuficiente;vi_serv_basicos_insuficiente;vi_nho_2mas;vi_urbano;vi_rural_agrupado;vi_rural_disperso;ho_necesidad_basica_insatisfecha;ho_suelo_cemento;ho_suelo_ladrillo;ho_techo_chapa_metal;ho_techo_chapa_pastico;ho_techo_chapa_carton;ho_techo_chapa_barro;ho_agua_fuera_vivienda;ho_agua_fuera_terreno;ho_sin_aseo;ho_refri_carbon;ho_compu;ho_celu;ho_fijo;ho_fhacinamiento;ho_3omas_por_cuarto;ho_prop_vivienda_terreno;ho_prop_vivienda;ho_inquilino;ho_npers_1;ho_npers_2;ho_npers_3;ho_npers_4;ho_npers_5;ho_npers_6;ho_npers_7;ho_npers_8mas;per_ocupado;per_desocupado;per_inactivo;per_edad_0_14;per_edad_15_65;per_edad_65mas;per_edad_0_4;per_edad_5_9;per_edad_10_14;per_edad_14_19;per_edad_20_24;per_edad_25_29;per_edad_30_34;per_edad_35_39;per_edad_40_44;per_edad_45_49;per_edad_50_54;per_edad_55_59;per_edad_60_64;per_edad_65_69;per_edad_70_74;per_edad_75_79;per_edad_80_84;per_edad_85_89;per_edad_90_94;per_edad_95mas;per_nietos_hogar;per_servicio_domestico_interno;per_hombre;per_mujer;per_inmigrante;per_sabe_leer;per_nunca_asiste;per_estud_primario;per_estud_egb;per_estud_secundara;per_estud_polimodal;per_estud_superior;per_estud_universitario;per_estud_postuniversitario;per_estud_especial;per_estud_completos;per_compu;paso19_blanco;paso19_validos;paso19_cand_FdT;paso19_cand_JxC;paso19_cand_Otros;pres19_blanco;pres19_validos;pres19_cand_FdT;pres19_cand_JxC;pres19_cand_Otros;pres15_blanco;pres15_validos;pres15_cand_Cam;pres15_cand_FPV;pres15_cand_Otros;pres15_cand_UNA;paso15_blanco;paso15_validos;paso15_cand_Cam;paso15_cand_FPV;paso15_cand_Otros;paso15_cand_UNA
01001000001;CABA; 3,1763661;  0,5108841; 2,4655709;100,0000000;0,000000e+00;0,000000e+00; 7,3290598; 1,4743590; 0,085470085;  1,73076923; 0,27777778;0,000000000;0,000000000; 3,24786325; 0,064102564; 0,34188034; 0,042735043; 97,45726;67,179487; 84,65812;83,0769231; 1,81623932;46,730769; 9,50854701;36,0256410;38,055556;30,897436;15,982906; 9,123932; 3,824786; 1,5384615;0,34188034;0,23504274;59,96522;2,5311564;22,471259;14,520336;67,13361;18,346054;0; 5,274853; 4,830451; 4,415032; 4,772486; 7,062120; 8,714134; 9,216501; 7,545165; 6,337552; 6,047725; 5,941455; 5,796541; 5,699932; 5,1202782; 3,7774128;3,7967346;2,95623611;1,82591054;0,724567675;1,7099797;0,222200754;46,45928;53,54072;12,91662641; 2,965897; 0,91778572;19,428075; 0,36711429;32,267414;0,36711429;10,7236016;26,4322288;2,97555792;0,27050527;50,61347;70,98831; 215;  7087;42,359249; 37,208974;17,398053; 114;  7740;44,444444; 42,532300;11,550388;  99;  7648; 40,363494;31,524582;12,4084728;14,408996; 183;  7121; 39,207976;29,981744;16,9498666;11,290549
01001000002;CABA; 6,7267684;  2,7045770; 3,2362460;100,0000000;0,000000e+00;0,000000e+00;12,4723574; 2,4546661; 0,022114109;  2,27775321; 0,48651039;0,022114109;0,022114109; 5,66121185; 0,154798762; 2,72003538; 0,000000000; 95,40027;68,089341; 86,26714;80,4511278; 1,63644405;45,002211; 5,48429898;42,1273773;39,849624;31,180893;15,612561; 7,806280; 3,118089; 1,7027864;0,30959752;0,44228218;59,49867;3,1086549;20,990822;12,197770;71,06484;16,737393;0; 4,342248; 4,164611; 3,700780; 5,013323; 9,010165;10,431264; 9,552946; 8,102240; 5,733741; 5,862035; 5,931116; 6,069279; 5,368598; 4,7962104; 3,8389421;3,0790487;2,57574262;1,72703049;0,621730978;1,7467680;0,207243659;47,80420;52,19580;17,48741735; 2,457318; 0,77963091;18,375604; 0,11842495;31,836574;0,34540610;10,7964078;28,7575249;3,54287970;0,19737491;50,33060;69,34768; 220;  6564;43,692870; 34,643510;18,312005; 112;  7064;46,800680; 40,062288;11,551529; 107;  7045; 39,971611;32,207239;12,5762952;13,726047; 155;  6655; 38,181818;31,104433;16,9947408;11,389932
01001000003;CABA;19,0815519; 34,6001584; 6,2549485;100,0000000;0,000000e+00;0,000000e+00;13,2556446;28,0407866; 1,310997815; 19,95630007; 2,18499636;0,655498908;0,873998543; 5,68099053; 2,257829570; 2,62199563; 0,291332848; 87,90969;63,364894; 93,22651;54,4064093; 5,02549162;63,656227; 5,97232338;26,3656227;25,564457;28,987618;21,267298;13,401311; 6,336489; 3,2046613;0,87399854;0,43699927;56,31016;2,0320856;16,764706;22,326203;70,96257; 6,684492;0; 9,973262; 6,818182; 5,561497; 5,641711; 9,358289; 9,224599; 8,368984; 9,759358; 7,647059; 5,481283; 5,695187; 5,026738; 4,759358; 3,0213904; 1,8716578;0,8556150;0,50802139;0,26737968;0,133689840;0,9358289;0,481283422;51,65775;48,34225;42,13903743; 4,973262; 1,55080214;17,540107; 0,56149733;32,245989;0,18716578; 5,8823529;24,3048128;5,80213904;0,13368984;50,10695;64,19786;  42;  3365;13,848440; 73,313522;11,589896;  33;  3630;15,757576; 77,438017; 5,895317;  12;  1542; 76,977951;11,219196; 3,8910506; 7,133593;   8;  1421; 74,454609; 9,641098; 6,8261787; 8,515130
01001000005;CABA;53,2843622; 13,7448792;14,0839102;100,0000000;0,000000e+00;0,000000e+00;32,1258973;59,2048592; 3,169519602; 32,76642739; 1,96576477;0,784097184;0,607399227;19,96686913; 1,568194368; 5,33406957; 0,331308669; 70,10491;20,750966; 85,86416;21,7559359;13,06460519;46,239647;18,67476532;30,4914412;21,921590;23,158476;20,883490;15,924903; 9,122032; 5,2125897;2,00993926;1,77802319;47,38689;3,4679269;16,662033;29,772743;68,73306; 1,494197;0;12,099520; 9,298770; 8,374453; 8,621169;12,930016;12,127319; 9,847800; 8,023490; 5,837793; 4,625061; 3,172562; 2,234346; 1,313503; 0,7297241; 0,3961359;0,2258670;0,07297241;0,03474877;0,006949753;1,3517270;0,031273890;51,29265;48,70735;53,68336924; 7,210369; 4,68413371;36,103968; 0,27104038;37,372298;0,40656057; 2,2239211; 5,4312322;0,48648273;0,22239211;37,05956;38,11592; 242;  5338;67,740727; 16,841514;10,884226; 237;  5717;68,654889; 18,838552; 8,361029;  67;  4791; 18,597370;57,044458; 5,6146942;17,345022;  84;  4077; 20,505273;53,127299;10,2526367;14,054452
01001000006;CABA; 0,9689922;  0,4770423;14,2218247;100,0000000;0,000000e+00;0,000000e+00; 1,5600825; 0,6059825; 0,000000000;  0,81227437; 0,27075812;0,000000000;0,000000000; 0,46415678; 0,000000000; 0,03867973; 0,012893244; 99,35534;77,656008; 88,78288;95,3326457; 0,39969056;59,076844; 5,85353275;26,0830325;32,052604;32,194430;16,903043;11,023724; 5,195977; 1,9210933;0,46415678;0,24497163;57,14136;1,8932064;24,737200;12,169866;64,93384;22,896292;0; 4,445374; 3,943308; 3,781183; 4,968359; 7,787250; 7,980754; 6,579154; 6,333351; 5,606401; 5,805136; 6,427488; 6,516396; 6,929554; 6,0300194; 4,7330161;4,2048010;3,90669944;2,42142147;1,202865959;1,0145913;3,116991789;43,74248;56,25752;15,82553214; 2,280215; 0,36608964;12,640552; 0,11505674;25,281105;0,25103290; 9,6804560;40,1548036;5,89404320;0,20396423;60,18514;72,29747; 210; 11055;10,402533; 76,508367;11,189507; 107; 11653;11,276066; 82,682571; 5,123144;  53; 11849; 81,804372; 8,000675; 3,8062284; 5,941430; 117; 10841; 79,632875; 7,526981; 5,5806660; 6,180242
01001000007;CABA; 1,0240797;  0,3874896; 1,4669250;100,0000000;0,000000e+00;0,000000e+00; 1,0626703; 0,3814714; 0,000000000;  0,21798365; 0,02724796;0,000000000;0,000000000; 0,65395095; 0,000000000; 0,08174387; 0,000000000; 99,48229;77,138965; 87,60218;92,7520436; 0,35422343;52,043597; 4,08719346;35,1226158;42,098093;31,335150;12,643052; 7,901907; 4,141689; 1,3079019;0,27247956;0,29972752;54,36666;2,5520955;23,682978; 9,669867;69,09389;21,236244;0; 3,523765; 2,786233; 3,371576; 5,478811; 9,505970; 9,962538; 7,340201; 5,970499; 5,513931; 5,420276; 6,462187; 6,907048; 6,520721; 5,8417232; 4,4954343;3,4886443;3,66424725;2,31795832;1,077031140;0,7960665;1,194099742;44,01779;55,98221;17,06860220; 2,083821; 0,49168813;10,700070; 0,08194802;22,500585;0,14048232;11,1800515;43,8187778;6,69632405;0,16389604;57,17631;70,92016; 110;  5290;16,578450; 66,899811;14,442344;  67;  6107;17,062387; 74,488292; 7,352219;  34;  5757; 73,666840;12,037520; 5,7321522; 7,972903;  60;  5800; 72,103448;10,844828; 8,3965517; 7,620690
01001000008;CABA; 0,7282913;  0,5322129; 1,8767507;100,0000000;0,000000e+00;0,000000e+00; 0,9051015; 0,7405376; 0,000000000;  0,35655513; 0,13713659;0,000000000;0,000000000; 0,41140976; 0,000000000; 0,05485464; 0,000000000; 99,20461;74,931432; 88,53538;88,3708173; 0,57597367;43,280307; 3,40098738;42,2929238;50,246846;29,648930;11,601755; 5,430609; 2,139331; 0,5485464;0,21941854;0,16456391;49,98879;1,9049753;17,066338; 7,126849;73,74496;19,128194;0; 2,566114; 2,151502; 2,398028; 2,947109; 8,370686;10,555805;10,331690; 7,530255; 6,566562; 6,824294; 6,813088; 6,745854; 7,059615; 5,9054236; 4,5831466;3,3841327;2,65575975;1,70327208;0,672344240;0,6051098;1,019722098;48,05020;51,94980;31,29762438; 1,210220; 0,53787539;10,141192; 0,15688032;20,965935;0,35858359;11,2057373;45,1815329;8,28103989;0,13446885;61,68758;58,28104; 213;  5703;22,391724; 58,513063;15,360337;  96;  5994;24,140807; 65,598932; 8,658659;  51;  5644; 64,564139;17,363572; 7,2997874; 9,868887;  99;  5210; 64,606526;15,451056; 9,9040307; 8,138196
01001000009;CABA; 4,9823208;  2,8929605; 3,6644166;100,0000000;0,000000e+00;0,000000e+00; 9,8907767; 2,7305825; 0,030339806;  0,72815534; 0,36407767;0,060679612;0,000000000; 4,24757282; 0,091019417; 1,09223301; 0,000000000; 94,75121;69,538835; 89,35073;73,6043689; 1,91140777;24,817961; 5,24878641;53,0946602;49,211165;27,548544;12,075243; 7,069175; 3,033981; 0,9708738;0,06067961;0,06067961;48,53880;1,8586944;12,462210; 9,528608;78,43467;12,036726;0; 3,627813; 2,955996; 2,944799; 4,344418; 9,315866;12,775725;11,252939; 8,106595; 7,222036; 6,673385; 6,998097; 6,561415; 5,172993; 4,0756914; 2,8216325;2,2393909;1,56757362;0,99652894;0,257529952;0,5934386;0,223939089;51,14769;48,85231;35,28160340; 1,847497; 0,69421117;12,988467; 0,20154518;28,361886;0,40309036;10,5027433;38,0136603;4,35561527;0,23513604;56,71257;53,73418; 186;  7239;27,089377; 52,852604;17,488603; 100;  7709;28,680763; 60,228305; 9,793748;  67;  7595; 58,327847;20,763660; 7,3074391;12,718894; 100;  6565; 57,456207;19,177456;10,8453922;10,997715
01001000010;CABA; 1,9074262;  2,3652085; 1,7548321;100,0000000;0,000000e+00;0,000000e+00; 3,8423401; 0,7932573; 0,297471492;  0,32226078; 0,17352504;0,421417947;0,000000000; 0,81804660; 0,421417947; 1,28904313; 0,198314328; 97,99207;74,590977; 87,53099;83,8373823; 1,21467526;39,588498; 5,15617253;42,0178483;46,380764;30,143778;12,617749; 7,288052; 2,429351; 0,8428359;0,04957858;0,24789291;64,48980;2,7829314;20,185529; 9,771181;72,34385;17,884972;0; 3,364255; 3,339518; 3,055040; 4,935065;10,760668;11,552257; 9,400124; 6,753247; 5,541126; 5,565863; 6,196660; 5,974026; 5,652443; 4,9474335; 4,1682127;3,1292517;2,85714286;1,85528757;0,655534941;1,1750155;0,259740260;45,88745;54,11255;14,99072356; 1,978973; 0,84106370;14,693878; 0,14842301;27,322202;0,39579468; 9,5238095;37,4891775;5,24427953;0,17316017;53,11070;75,26283; 239;  8096;27,161561; 51,272233;18,614130; 109;  8519;29,757014; 58,481042;10,482451;  67;  8621; 57,116344;21,308433; 8,7228860;12,075165; 121;  7837; 55,927013;19,510017;12,4027051;10,616307
01001000011;CABA; 6,5751858;  2,7825424; 3,2018296;100,0000000;0,000000e+00;0,000000e+00;16,9122933; 1,1682243; 0,000000000;  1,63551402; 1,65348670;0,000000000;0,000000000; 5,82314881; 0,000000000; 1,67145938; 0,000000000; 93,87132;65,654206; 87,86844;75,4493170; 1,70740474;31,829619; 5,62544932;54,2595255;48,490295;29,133717;12,185478; 6,595974; 2,228613; 0,9166068;0,19769950;0,23364486;58,06162;2,6150200;17,773964; 9,896216;75,38612;14,717660;0; 3,064477; 2,794803; 4,036937; 4,519081;10,876849;12,691019;10,116859; 7,444635; 6,006374; 6,227016; 6,325080; 5,654981; 5,516058; 4,4455340; 3,5629648;2,5659884;2,29631446;1,19310288;0,490316254;0,7926779;0,261502002;47,06219;52,93781;22,44831249; 2,018469; 1,02149220;15,297867; 0,27784588;31,004331;0,44945657;10,6562066;33,2597859;4,15134428;0,23698619;52,20234;64,79529; 273;  8126;36,524735; 41,656412;18,459267; 105;  8758;38,730304; 48,332953;11,737840; 116;  8778; 46,673502;27,363864;10,5946685;14,046480; 134;  8102; 45,457912;25,956554;15,0703530;11,861269
