Codigo_Partido;Denominacion;Lista_Interna;Agrupacion
0003;UNION CIVICA RADICAL                                                                                ;                                                                                                    ;0003
0012;COMUNISTA                                                                                           ;                                                                                                    ;0012
0013;MOVIMIENTO AL SOCIALISMO                                                                            ;                                                                                                    ;0013
0023;UNION POPULAR                                                                                       ;                                                                                                    ;0023
0030;SOCIALISTA AUTENTICO                                                                                ;                                                                                                    ;0030
0038;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;                                                                                                    ;0038
0040;MOVIMIENTO LIBRES DEL SUR                                                                           ;                                                                                                    ;0040
0050;SOCIALISTA                                                                                          ;                                                                                                    ;0050
0057;MOVIMIENTO DE ACCION VECINAL                                                                        ;                                                                                                    ;0057
0060;MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ;                                                                                                    ;0060
0061;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;                                                                                                    ;0061
0063;ES POSIBLE                                                                                          ;                                                                                                    ;0063
0065;UNION CELESTE Y BLANCO                                                                              ;                                                                                                    ;0065
0068;NUEVA IZQUIERDA                                                                                     ;                                                                                                    ;0068
0069;GEN                                                                                                 ;                                                                                                    ;0069
0070;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;                                                                                                    ;0070
0071;DEL OBRERO                                                                                          ;                                                                                                    ;0071
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;                                                                                                    ;0072
0074;PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    ;                                                                                                    ;0074
0076;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;                                                                                                    ;0076
0081;PARTIDO POPULAR                                                                                     ;                                                                                                    ;0081
0131;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;                                                                                                    ;0131
0132;ALIANZA PROGRESISTAS                                                                                ;                                                                                                    ;0132
0133;ALIANZA COMPROMISO FEDERAL                                                                          ;                                                                                                    ;0133
0134;MST - NUEVA IZQUIERDA                                                                               ;                                                                                                    ;0134
0135;ALIANZA CAMBIEMOS                                                                                   ;                                                                                                    ;0135
0136;ALIANZA FRENTE POPULAR                                                                              ;                                                                                                    ;0136
0137;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;                                                                                                    ;0137
0138;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;                                                                                                    ;0138
0145;CAMBIEMOS BUENOS AIRES                                                                              ;                                                                                                    ;0145
0151;MOVIMIENTO POPULAR NEUQUINO                                                                         ;                                                                                                    ;0151
0152;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ;                                                                                                    ;0152
0153;CRUZADA RENOVADORA                                                                                  ;                                                                                                    ;0153
0154;MOVIMIENTO POPULAR FUEGUINO                                                                         ;                                                                                                    ;0154
0155;MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ;                                                                                                    ;0155
0157;DE ACCION CHUBUTENSE                                                                                ;                                                                                                    ;0157
0161;OBRERO                                                                                              ;                                                                                                    ;0161
0165;NUEVO OCTUBRE                                                                                       ;                                                                                                    ;0165
0169;PROYECTO POPULAR                                                                                    ;                                                                                                    ;0169
0177;PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       ;                                                                                                    ;0177
0179;FRENTE CAMBIA JUJUY                                                                                 ;                                                                                                    ;0179
0180;DEL CAMPO POPULAR                                                                                   ;                                                                                                    ;0180
0186;AUTODETERMINACION Y LIBERTAD                                                                        ;                                                                                                    ;0186
0187;SOCIAL PATAGONICO                                                                                   ;                                                                                                    ;0187
0188;UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ;                                                                                                    ;0188
0189;PARTIDO CIUDADANOS A GOBERNAR                                                                       ;                                                                                                    ;0189
0190;MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR                                                             ;                                                                                                    ;0190
0194;MOVIMIENTO VECINAL                                                                                  ;                                                                                                    ;0194
0198;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;                                                                                                    ;0198
0202;FRENTE RENOVADOR AUTENTICO                                                                          ;                                                                                                    ;0202
0203;INSTRUMENTO ELECTORAL                                                                               ;                                                                                                    ;0203
0208;POR UN PUEBLO UNIDO                                                                                 ;                                                                                                    ;0208
0212;PRINCIPIOS Y CONVICCION                                                                             ;                                                                                                    ;0212
0268;MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU                                                            ;                                                                                                    ;0268
0298;TODOS POR BUENOS AIRES                                                                              ;                                                                                                    ;0298
0301;PATRIA GRANDE                                                                                       ;                                                                                                    ;0301
0302;BANDERA VECINAL                                                                                     ;                                                                                                    ;0302
0333;FUERZA ORG. RENOV. DEMOCRATICA                                                                      ;                                                                                                    ;0333
0446;AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE                                                        ;                                                                                                    ;0446
0484;NUEVA ALTERNATIVA CARMEÑA                                                                           ;                                                                                                    ;0484
0501;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;                                                                                                    ;0501
0502;ALIANZA CAMBIEMOS                                                                                   ;                                                                                                    ;0502
0503;ALIANZA COMPROMISO FEDERAL                                                                          ;                                                                                                    ;0503
0504;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;                                                                                                    ;0504
0506;ALIANZA PROGRESISTAS                                                                                ;                                                                                                    ;0506
0507;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            ;                                                                                                    ;0507
0509;ALIANZA UNION PARA VIVIR MEJOR                                                                      ;                                                                                                    ;0509
0510;ALIANZA UNION POR CORDOBA                                                                           ;                                                                                                    ;0510
0514;ALIANZA CAMBIEMOS MENDOZA                                                                           ;                                                                                                    ;0514
0517;ALIANZA CAMBIEMOS TIERRA DEL FUEGO                                                                  ;                                                                                                    ;0517
0518;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;                                                                                                    ;0518
0519;ALIANZA ENCUENTRO POR CORRIENTES                                                                    ;                                                                                                    ;0519
0520;ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ;                                                                                                    ;0520
0521;ALIANZA FRENTE AMPLIO PODEMOS                                                                       ;                                                                                                    ;0521
0522;ALIANZA FRENTE CAMBIEMOS                                                                            ;                                                                                                    ;0522
0523;ALIANZA CAMBIEMOS RIO NEGRO                                                                         ;                                                                                                    ;0523
0524;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;                                                                                                    ;0524
0525;ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          ;                                                                                                    ;0525
0526;ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ;                                                                                                    ;0526
0527;ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA                                                   ;                                                                                                    ;0527
0528;ALIANZA FRENTE TERCERA POSICION                                                                     ;                                                                                                    ;0528
0529;ALIANZA FRENTE UNIDOS                                                                               ;                                                                                                    ;0529
0530;ALIANZA CAMBIEMOS CHUBUT                                                                            ;                                                                                                    ;0530
0531;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ;                                                                                                    ;0531
0532;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;                                                                                                    ;0532
0600;UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ;                                                                                                    ;0600
0612;NUEVO ZARATE                                                                                        ;                                                                                                    ;0612
